Epoch,Training Loss,Validation Loss,Training Discriminator Loss,Validation Discriminator Loss
0,0.10114925339033728,0.06876714972572194,0.7261760620694412,0.7341304388311174
1,0.07068558603917298,0.06407862974123822,0.7485784194971385,0.7263608806663089
2,0.06404156580959496,0.04900288819852802,0.739694503106569,0.7265865984890196
3,0.045998265172698,0.018900541950845055,0.7422455712368614,0.7561863942278756
4,0.02130015947806992,0.01898464198327727,0.7415926164702366,0.7292889240715239
5,0.01971593647214927,0.02255309712038272,0.7283092094095129,0.7619150016042922
6,0.018588574642413543,0.014563578051618405,0.7462825361051058,0.7269898305336634
7,0.018464992719849475,0.01826725742365751,0.7340254786767457,0.7193256302012337
8,0.01829901633195971,0.02137572284684413,0.741182805048792,0.7467656201786466
9,0.01842479353378478,0.015406742329812713,0.7396344369963596,0.7361189987924364
10,0.019379062225159845,0.021726668657114107,0.7484705526577798,0.7348981764581468
11,0.018075622730937442,0.021023312298994925,0.7336941035170305,0.7270407643583086
12,0.01774677480816057,0.01884561652938525,0.7272184924075478,0.7067644049723943
13,0.01772611533340655,0.016760757374059822,0.7292138579644655,0.723314470714993
14,0.018037448122509216,0.018761207453078695,0.7413968879925578,0.7709794210063087
15,0.019248348675472173,0.01432047329015202,0.7505844288750698,0.7414926323625777
16,0.016879261706612612,0.016083287333862648,0.7351791560649872,0.7260260979334513
17,0.01711223821008676,0.01875226753246453,0.7294972175046017,0.7217931151390076
18,0.01687057292775104,0.021509874870793685,0.7389955856298146,0.7162205908033583
19,0.017390278177826027,0.017058602741195097,0.7300560552822916,0.724906293882264
20,0.016846768719781385,0.015318652330380347,0.726068945934898,0.7625011801719666
21,0.017259275516201007,0.015213377075269818,0.7306433178876576,0.7528104417853885
22,0.01727370664869484,0.017820240257100925,0.7285678173366346,0.737205864654647
23,0.017690783572432242,0.01702528203734093,0.7284783680188028,0.7495922777387831
24,0.017319579927348776,0.017089240641022723,0.7329549805114144,0.7447900689310498
25,0.017489382590314274,0.014392489670879312,0.7384914815425873,0.7589929550886154
26,0.017338873676367498,0.017419566503829427,0.7448578134963387,0.724925332599216
27,0.01762168530962969,0.01624769642431703,0.7358855852955266,0.7240756303071976
28,0.016941777077552518,0.018947758194473054,0.7190762319062886,0.6743453360266156
29,0.01685198912593095,0.01709774972146584,0.7305635690689087,0.7117961015966203
30,0.017010977344685478,0.020134813928355772,0.7339459786289617,0.7287609130144119
31,0.017274932612321877,0.01839079547466503,0.7383668115264491,0.7136503209670385
32,0.016695001937056843,0.01962680436877741,0.7350888286766253,0.7288278804885017
33,0.017482310322750556,0.01806938769813213,0.7362273059393231,0.7401904347870085
34,0.01694544607675389,0.0208468791614804,0.7384968541170421,0.7627625912427902
35,0.01702699985257105,0.014367465343740251,0.7175291199433176,0.7390114764372507
36,0.01653078308230952,0.018941845848328538,0.7181834685175043,0.7272190021144019
37,0.0173285133695524,0.018444817746058106,0.7275552125353563,0.7292626450459162
38,0.016383403279867613,0.021656644582334492,0.7168814411288813,0.7355653295914332
39,0.01643748974035445,0.016590923743529454,0.7162401685589238,0.7279292162921693
40,0.01703526352189089,0.01703588051411013,0.7308564888803583,0.7407956073681513
41,0.016579815539482394,0.014657147565028734,0.7377757069311643,0.7804310106568866
42,0.016399688111912263,0.012709707953035831,0.7418706329245316,0.7448767373959223
43,0.016993833911654196,0.014744054215649763,0.71261112439005,0.7251498152812322
44,0.016958426649829276,0.02025131847605937,0.7290834157090438,0.7105430629518297
45,0.016453178506344555,0.01746901021235519,0.7244698951118871,0.7314221031135983
46,0.016877044134430193,0.019838496163073514,0.7324428727752283,0.7175242967075772
47,0.01684515192418506,0.01912500590292944,0.7275113786521711,0.7454303205013275
48,0.016834245019249225,0.017725896038528945,0.7363705042161439,0.7184458507431878
49,0.016308474927944572,0.01673662310673131,0.7138263498481952,0.7280318074756198
